Nothing	ID	Sentiment	Tweet	Time
NA	1	negative	REALLY wish #Twitter would enable editing a tweet after it is sent.  Already been RT'd numerous times, so want to avoid deleting.  come on..	Tue Mar 01 21:32:33 +0000 2016
NA	2	neutral	RT @Ms_Golightly: #JohnnyCash &amp; #JuneCarter wedding, March 1, 1968 https://t.co/fYTZQKQbG8	Tue Mar 01 20:44:47 +0000 2016
NA	3	negative	saving a fat gopher.. lol  https://t.co/OQVucDTKcR	Tue Mar 01 20:40:50 +0000 2016
NA	4	neutral	https://t.co/W6C76Uef0S	Tue Mar 01 20:08:44 +0000 2016
NA	5	neutral	RT @MichelEnLaRed: 500px : Emm... by XDiego https://t.co/K3jd0Jiynd https://t.co/HeQvUiMSIO	Tue Mar 01 18:38:19 +0000 2016
NA	6	neutral	Through the camera, 30 years later https://t.co/3993otXhaf via @	Tue Mar 01 16:04:03 +0000 2016
NA	7	neutral	https://t.co/zRKf83J5KV	Tue Mar 01 15:27:45 +0000 2016
NA	8	positive	good ole' iggy... https://t.co/1xtkyjtKbg	Mon Feb 29 23:47:04 +0000 2016
NA	9	positive	@seanvernon seriously, you're resto hopping this week? ON &amp; PQ?? lucky you.  yes..post pics. *pics ;)	Mon Feb 29 21:10:40 +0000 2016
NA	10	neutral	*mltdwn  @seanvernon	Mon Feb 29 21:07:15 +0000 2016
NA	11	positive	@seanvernon you clever little foodie, you ;). you need to open a resto.  mtldwn is good? i'm going to mtl next week.. any other tips?	Mon Feb 29 21:05:50 +0000 2016
NA	12	neutral	https://t.co/YXjcfNHAXt	Mon Feb 29 16:59:27 +0000 2016
NA	13	neutral	some souls just understand each other. https://t.co/WWZzo2kX4I	Mon Feb 29 03:44:16 +0000 2016
NA	14	positive	@RorNotRed I'm going to treat it like it's a wildcard.  icing.  an extra day is very cool..everyone in the world should have it off :))	Mon Feb 29 01:49:20 +0000 2016
NA	15	positive	@RorNotRed ..only almost here, here ;)	Mon Feb 29 01:43:44 +0000 2016
